MEP id,Name,Member State,National Party,EP Group,NOM-D1,NOM-D2,
177,BOCKLET Reinhold L.,D,1202,E,0.535,-0.320,
178,BODEN Fernand,L,1803,E,.,.,
184,BØGH Jørgen,K,1703,R,-0.667,-0.033,
186,BOMBARD Alain,F,1412,S,-0.103,-0.109,
187,BONACCINI Aldo,I,1613,M,-0.215,-0.036,
188,BONDE Jens-Peter,K,1703,R,-0.813,0.060,
190,BONINO Emma,I,1617,R,-0.512,0.173,
195,BOOT Elise C.A.M.,N,1901,E,0.524,-0.117,
196,BORD André,F,1404,G,0.272,-0.952,
204,BOSERUP Bodil,K,1709,M,-0.380,0.580,
211,BOURNIAS Leonidas,G,1505,E,0.409,-0.367,
216,BOYES Roland,U,2404,S,-0.293,0.729,
219,BRANDT Willy,D,1207,S,.,.,
232,BROK Elmar,D,1201,E,0.513,-0.258,
233,BROOKES Beate Ann,U,2401,C,0.808,0.576,
237,BUCCHINI Dominique,F,1409,M,-0.542,-0.409,
238,BUCHAN Janey O'Neil,U,2404,S,-0.341,0.376,
239,BUCHOU Hubert Jean,F,1404,G,0.101,-0.829,
252,BUTTAFUOCO Antonino,I,1601,N,0.301,-0.825,
257,CABORN Richard G.,U,2404,S,-0.221,0.927,
262,CAILLAVET Henri-Guy,F,1414,L,-0.047,-0.116,
265,CALVEZ Corentin,F,1414,L,0.436,-0.386,
278,CAPANNA Mario,I,1605,R,-0.792,-0.275,
281,CARDIA Umberto,I,1613,M,-0.161,-0.068,
283,CARETTONI ROMAGNOLI Tullia,I,1610,M,-0.177,0.072,
284,CARIGLIA Antonio,I,1620,S,0.019,0.253,
290,CAROSSINO Angelo,I,1613,M,-0.122,0.010,
304,CASSANMAGNAGO CERRETTI Maria Luisa,I,1606,E,0.408,-0.270,
308,CASTELLINA Luciana,I,1605,R,-0.455,0.689,
309,CASTLE Barbara A.,U,2404,S,-0.055,0.953,
312,CATHERWOOD Fred,U,2401,C,0.822,0.568,
319,CECOVINI Manlio,I,1616,L,0.411,-0.303,
323,CERAVOLO Domenico,I,1613,M,-0.154,-0.009,
333,CHAMBEIRON Robert,F,1409,M,-0.506,-0.605,
334,CHANTERIE Raphaël M.G.,B,1103,E,0.404,-0.223,
335,CHARZAT Gisèle,F,1412,S,-0.055,-0.225,
341,CHIRAC Jacques,F,1404,G,.,.,
344,CHOURAQUI Nicole,F,1404,G,.,.,
351,CINCIARI RODANO Maria Lisa,I,1613,M,-0.162,0.018,
352,CINGARI Gaetano,I,1621,S,-0.008,0.206,
354,CLEMENT Jean-José,F,1404,G,0.215,-0.883,
355,CLINTON Mark,R,2202,E,0.459,-0.460,
356,CLUSKEY Frank,R,2206,S,0.031,-0.098,
357,CLWYD Ann,U,2404,S,-0.267,0.579,
363,COHEN Robert,N,1906,S,-0.025,0.613,
368,COLLA Marcel G.B.,B,1111,S,-0.064,0.504,
369,COLLESELLI Arnaldo,I,1606,E,0.528,-0.336,
373,COLLINS Kenneth D.,U,2404,S,-0.053,0.886,
374,COLLOMB Francisque,F,1414,E,0.562,-0.542,
376,COLOMBO Emilio,I,1606,E,.,.,
379,COMBE Francis,F,1414,L,0.494,-0.416,
385,COPPIETERS Maurits P.-A.,B,1113,R,-0.529,-0.261,
395,COSENTINO Francesco,I,1606,E,0.505,-0.651,
400,COSTANZO Roberto,I,1606,E,0.478,-0.284,
404,COTTRELL Richard J.,U,2401,C,0.774,0.484,
405,COURCY LING John de,U,2401,C,0.810,0.574,
406,COUSTÉ Pierre-Bernard,F,1404,G,0.257,-0.921,
408,COUTSOCHERAS Yannis,G,1506,S,-0.351,-0.087,
414,CRAXI Bettino,I,1621,S,.,.,
417,CRESSON Edith,F,1412,S,0.024,-0.172,
418,CRONIN Jerry (Jeremiah),R,2201,G,0.233,-0.933,
419,CROUX Lambert V.J.,B,1103,E,0.546,-0.186,
425,CURRY David M.,U,2401,C,0.751,0.648,
429,DALAKOURAS Georgios,G,1505,N,.,.,
430,DALSASS Joachim,I,1625,E,0.532,-0.313,
432,DALZIEL Ian M.,U,2401,C,0.786,0.604,
434,DAMETTE Félix,F,1409,M,-0.584,-0.417,
436,DAMSEAUX André R.J.-M.H.-A,B,1107,L,0.466,-0.467,
439,D'ANGELOSANTE Francescopaolo,I,1613,M,-0.155,-0.020,
440,DANKERT Pieter,N,1906,S,0.032,0.486,
445,DAVERN Noel Michael,R,2201,G,0.234,-0.923,
450,DE CLERCQ Willy C.E.H.,B,1110,L,0.385,0.109,
455,DE GUCHT Karel L.G.E.,B,1110,L,0.330,-0.010,
456,DE KEERSMAEKER Paul Ph. M.H.,B,1103,E,0.502,-0.085,
461,DE MARCH Danielle,F,1409,M,-0.362,-0.408,
466,DE PASQUALE Pancrazio,I,1613,M,-0.125,-0.021,
475,DEBATISSE Michel,F,1414,E,.,.,
476,DEBRÉ Michel J.-P.,F,1404,G,.,.,
480,DEKKER Suzanne,N,1902,N,-0.289,-0.001,
481,DEL DUCA Antonio,I,1606,E,0.456,-0.378,
482,DELATTE Charles,F,1414,L,0.427,-0.486,
484,DELEAU Gustave,F,1404,G,0.282,-0.888,
488,DELMOTTE Fernand L.,B,1108,S,-0.034,0.204,
489,DELOROZOY Robert,F,1410,L,0.475,-0.382,
490,DELORS Jacques L.J.,F,1412,S,-0.085,-0.089,
492,DENIAU Xavier,F,1404,G,0.416,-0.629,
493,DENIS Jacques,F,1409,M,-0.462,-0.541,
499,DESCHAMPS Pierre M.L.L.C.,F,1420,E,0.501,-0.212,
502,DESMOND Eileen,R,2206,S,0.129,-0.099,
503,DESOUCHES Marie-Jacqueline,F,1412,S,-0.141,-0.161,
508,DI BARTOLOMEI Mario,I,1618,L,0.471,-0.454,
513,DIANA Alfredo,I,1606,E,0.546,-0.361,
515,DIDO' Mario,I,1621,S,-0.045,0.275,
516,DIENESCH Marie-Madeleine,F,1404,G,0.364,-0.652,
520,DILIGENT André F.E.,F,1414,E,0.529,-0.400,
525,DIMOPOULOS Ioannis,G,1505,N,.,.,
532,DONNEZ Georges H.,F,1414,L,0.422,-0.487,
534,DOUBLET Maurice CH.H.,F,1404,G,0.094,-0.971,
535,DOURO The Lord,U,2401,C,0.800,0.583,
539,DRUON Maurice S.R.C.,F,1404,G,.,.,
547,DUPORT Paule,F,1412,S,-0.185,-0.179,
552,DURY Raymonde M.E.A.,B,1108,S,-0.224,0.085,
559,EISMA Doeke,N,1902,N,0.051,0.276,
562,ELLES The Baroness,U,2401,C,0.842,0.537,
565,ENRIGHT Derek A.,U,2404,S,-0.042,0.846,
566,EPHREMIDIS Vassilis,G,1504,M,-0.823,-0.022,
567,ERCINI Sergio,I,1606,E,0.511,-0.239,
576,ESTGEN Nicolas,L,1803,E,0.497,-0.291,
577,ESTIER Claude,F,1412,S,0.013,-0.114,
584,EWING Winifred M.,U,2408,G,0.175,-0.616,
585,EYRAUD Louis,F,1412,S,-0.124,-0.208,
590,FAJARDIE Roger,F,1412,S,-0.172,-0.223,
594,FANTI Guido,I,1613,M,-0.132,-0.014,
596,FANTON André,F,1404,G,0.193,-0.739,
605,FAURE Edgar,F,1414,L,0.228,-0.846,
606,FAURE Maurice,F,1405,S,0.020,-0.323,
609,FELLERMAIER Ludwig,D,1207,S,-0.057,0.531,
612,FERGUSSON Adam,U,2401,C,0.863,0.493,
614,FERNANDEZ Guy,F,1409,M,-0.493,-0.523,
618,FERRANTI Basil de,U,2401,C,0.803,0.587,
622,FERRERO Bruno,I,1613,M,-0.221,0.032,
624,FERRI Mauro,I,1620,S,-0.020,0.012,
625,FICH Ove,K,1708,S,-0.097,0.707,
631,FILIPPI Renzo Eligio,I,1606,E,0.463,-0.249,
634,FISCHBACH Marc M.J.A.,L,1803,E,0.530,-0.264,
638,FLANAGAN Seán,R,2201,G,0.303,-0.616,
641,FLESCH Colette,L,1802,L,.,.,
646,FOCKE Katharina,D,1205,S,0.023,0.504,
654,FORNI Raymond,F,1404,S,.,.,
655,FORSTER Norvela,U,2401,C,0.810,0.568,
657,FORTH Eric,U,2401,C,0.820,0.372,
659,FOTILAS Assimakis,G,1506,S,-0.300,-0.211,
661,FOURCADE Marie-Madeleine,F,1404,G,0.163,-0.598,
668,FRANGOS Dimitrios,G,1505,N,0.547,-0.702,
669,FRANZ Otmar,D,1201,E,0.553,-0.352,
672,FRIEDRICH Bruno,D,1207,S,0.049,0.426,
673,FRIEDRICH Ingo,D,1202,E,0.555,-0.311,
676,FRISCHMANN Georges Louis,F,1409,M,-0.608,-0.504,
678,FRÜH Isidor W.,D,1201,E,0.536,-0.305,
681,FUCHS Gérard R.P.,F,1412,S,-0.094,-0.177,
682,FUCHS Karl,D,1202,E,0.550,-0.314,
683,FUILLET Yvette M.,F,1412,S,-0.096,-0.181,
686,GABERT Volkmar,D,1207,S,0.017,0.506,
692,GAIOTTI DE BIASE Paola,I,1606,E,0.379,-0.121,
694,GALLAGHER Michael,U,2404,S,-0.021,0.484,
696,GALLAND Yves A.R.,F,1410,L,0.489,-0.319,
700,GALLUZZI Carlo Alberto,I,1613,M,-0.274,-0.095,
717,GASPARD Françoise,F,1412,S,.,.,
719,GATTO Vincenzo,I,1621,S,-0.045,0.205,
722,GAUTHIER Roger,F,1404,G,0.312,-0.601,
723,GAUTIER Fritz,D,1207,S,0.020,0.596,
724,GAWRONSKI Jas,I,1618,L,0.421,-0.374,
728,GENDEBIEN Paul-Henry E.M.Gh.,B,1105,R,-0.264,-0.131,
729,GEORGIADIS Antonios,G,1506,S,-0.311,-0.072,
731,GEROKOSTOPOULOS Achillefs,G,1505,E,0.435,-0.339,
732,GERONIMI François-Marie,F,1404,G,0.366,-0.775,
734,GEURTSEN Aart,N,1909,L,0.551,-0.158,
735,GHERGO Alberto,I,1606,E,0.530,-0.321,
739,GIAVAZZI Giovanni,I,1606,E,0.528,-0.359,
743,GILLOT Alain Y.M.,F,1404,G,.,.,
747,GIUMMARRA Vincenzo,I,1606,E,0.532,-0.333,
751,GLINNE Ernest,B,1108,S,0.005,0.540,
752,GLYKOFRIDIS Ilias,G,1503,N,.,.,
756,GOEDE Arie DE,N,1902,N,0.014,0.237,
759,GOERENS Charles,L,1802,L,0.403,-0.257,
765,GONELLA Guido,I,1606,E,0.591,-0.466,
766,GONTIKAS Konstantinos,G,1505,E,0.460,-0.243,
770,GOPPEL Alfons,D,1202,E,0.542,-0.449,
774,GOUTHIER Anselmo,I,1613,M,-0.228,0.032,
781,GREDAL Eva,K,1708,S,-0.116,0.568,
784,GREMETZ Maxime François,F,1409,M,.,.,
785,GRIFFITHS (Win) Winston James,U,2404,S,-0.206,0.978,
787,GROES Mette,K,1708,S,.,.,
800,GUN Frans G. van der ,N,1901,E,0.514,-0.079,
807,HAAGERUP Niels Jørgen,K,1711,L,0.442,-0.215,
809,HABSBURG Otto von ,D,1202,E,0.620,-0.271,
814,HAHN Wilhelm F.T.,D,1201,E,0.544,-0.294,
817,HALLIGAN Brendan,R,2206,S,-0.180,-0.123,
818,HAMILIUS Jean,L,1802,L,0.321,-0.104,
819,HAMMERICH Else,K,1703,R,-0.663,0.039,
821,HÄNSCH Klaus,D,1207,S,0.045,0.549,
824,HARALAMPOPOULOS Ioannis,G,1506,S,.,.,
828,HARMAR-NICHOLLS The Lord,U,2401,C,0.798,0.575,
829,HARRIS David A.,U,2401,C,0.822,0.543,
831,HASSEL Kai Uwe von,D,1201,E,0.543,-0.347,
833,HAUENSCHILD Karl W.H.,D,1207,S,.,.,
841,HEINEMANN Hermann,D,1207,S,-0.066,0.457,
845,HELMS Wilhelm,D,1201,E,0.542,-0.336,
846,HENCKENS Jaak P.J.,B,1103,E,0.620,-0.239,
848,HERKLOTZ Luise,D,1207,S,0.010,0.449,
849,HERMAN Fernand H.J.,B,1109,E,0.557,-0.204,
858,HEUVEL Ien van den ,N,1906,S,-0.100,0.625,
863,HOFF Magdalene,D,1207,S,-0.008,0.574,
864,HOFFMANN Jacqueline,F,1409,M,-0.481,-0.459,
865,HOFFMANN Karl-Heinz,D,1201,E,0.515,-0.258,
872,HOOPER Gloria D.,U,2401,C,0.786,0.611,
874,HOPPER William J.,U,2401,C,0.819,0.559,
875,HORD Brian H.,U,2401,C,0.776,0.579,
876,HORGAN John,R,2206,S,-0.011,-0.354,
879,HOWELL Paul F.,U,2401,C,0.840,0.419,
889,HUME John,U,2407,S,-0.143,-0.109,
891,HUTTON Alasdair Henry,U,2401,C,0.835,0.533,
902,IOTTI Leonilde,I,1613,M,.,.,
903,IPPOLITO Felice,I,1610,M,-0.229,-0.013,
904,IRMER Ulrich,D,1203,L,0.422,-0.207,
906,ISRAEL Gérard,F,1404,G,0.355,-0.861,
911,JACKSON Christopher M.,U,2401,C,0.813,0.546,
912,JACKSON Robert Victor,U,2401,C,0.814,0.550,
914,JAKOBSEN Erhard V.,K,1701,E,0.596,-0.334,
915,JALTON Frédéric,F,1412,S,-0.088,-0.301,
916,JANSSEN van RAAY James L.,N,1901,E,0.539,-0.149,
917,JAQUET Gérard,F,1412,S,-0.030,-0.202,
928,JOHNSON Stanley P.,U,2401,C,0.731,0.639,
930,JONKER Sjouke,N,1901,E,0.538,0.014,
933,JOSSELIN Charles,F,1412,S,-0.124,-0.259,
938,JUNOT Michel,F,1404,G,0.417,-0.863,
940,JÜRGENS Heinrich,D,1203,L,0.427,-0.153,
942,KALLIAS Konstantinos,G,1505,E,0.395,-0.253,
943,KALOYANNIS Konstantinos,G,1505,E,0.369,-0.197,
944,KAPPOS Konstantinos,G,1504,M,-0.671,-0.691,
950,KASPEREIT Gabriel,F,1404,G,0.287,-0.929,
952,KATSAFADOS Ioannis,G,1505,N,.,.,
953,KATZER Hans,D,1201,E,0.462,-0.308,
956,KAVANAGH Liam,R,2206,S,0.087,-0.126,
957,KAZAZIS Filotas,G,1505,E,0.361,-0.365,
958,KEATING Justin,R,2206,S,.,.,
960,KELLETT-BOWMAN Edward T.,U,2401,C,0.810,0.514,
961,KELLETT-BOWMAN Elaine,U,2401,C,0.795,0.553,
966,KEY Brian M.,U,2404,S,-0.100,0.794,
972,KIRK Kent S.,K,1706,C,0.777,0.185,
978,KLEPSCH Egon A.,D,1201,E,0.525,-0.299,
979,KLINKENBORG Jan,D,1207,S,-0.024,0.575,
987,KÖHLER Herbert W.,D,1201,E,.,.,
999,KOULOURIANOS Dimitrios,G,1506,S,.,.,
1009,KROUWEL-VLAM J. (Annie) B.,N,1906,S,-0.145,0.718,
1012,KÜHN Heinz,D,1207,S,-0.043,0.483,
1016,KYRKOS Leonidas,G,1504,M,-0.402,-0.115,
1021,LABBÉ Claude L.L.P.,F,1404,G,.,.,
1026,LAGAKOS Leonidas,G,1506,S,-0.257,0.081,
1032,LALOR (Paddy) Patrick Joseph,R,2201,G,0.316,-0.873,
1034,LALUMIERE Pierre,F,1412,S,-0.138,0.062,
1045,LANGE Erwin,D,1207,S,0.032,0.525,
1049,LANGES Horst,D,1201,E,0.527,-0.265,
1063,LE ROUX Sylvie,F,1409,M,-0.438,-0.554,
1064,LECANUET Jean A.F.,F,1414,E,0.432,-0.472,
1066,LEGA Silvio,I,1606,E,0.511,-0.325,
1073,LEMMER Gerd Ludwig,D,1201,E,0.540,-0.209,
1074,LENTZ-CORNETTE Marcelle,L,1803,E,0.552,-0.278,
1075,LENZ Marlene,D,1201,E,0.520,-0.244,
1076,LEONARDI Silvio,I,1613,M,-0.104,-0.019,
1079,LEZZI Pietro,I,1621,S,-0.081,0.296,
1083,LIGIOS Giosuè,I,1606,E,0.492,-0.221,
1084,LIMA Salvatore,I,1606,E,0.587,-0.249,
1085,LINDE Erdmann,D,1207,S,-0.020,0.764,
1089,LINKOHR Rolf,D,1207,S,0.005,0.507,
1093,LIPKOWSKI Jean-Noël de,F,1404,G,0.073,-0.997,
1096,LIZIN Anne-Marie A.,B,1108,S,-0.167,0.142,
1100,LODERER Eugen,D,1207,S,.,.,
1101,LOMAS Alfred,U,2404,S,-0.257,0.753,
1104,LOO Charles-Emile,F,1412,S,-0.070,-0.038,
1106,LOULES Konstantinos,G,1504,M,.,.,
1107,LOUWES Hendrik J.,N,1909,L,0.459,-0.219,
1110,LÜCKER Hans August,D,1202,E,0.557,-0.317,
1116,LUSTER Rudolf,D,1201,E,0.536,-0.263,
1118,LYNGE Finn,K,1710,S,-0.588,0.714,
1123,MACARIO Luigi,I,1606,E,0.380,-0.234,
1125,MACCIOCCHI Maria Antonietta,I,1617,S,-0.019,0.066,
1130,MAFFRE-BAUGÉ Emmanuel P.M.,F,1409,M,-0.412,-0.468,
1132,MAHER Thomas Joseph,R,2205,L,0.346,-0.527,
1134,MAIJ-WEGGEN Hanja,N,1901,E,0.435,-0.008,
1135,MAJONICA Ernst,D,1201,E,0.551,-0.330,
1136,MALANGRÉ Kurt,D,1201,E,0.540,-0.427,
1138,MALENE Christian de la,F,1404,G,0.252,-0.941,
1154,MARCHAIS Georges,F,1409,M,.,.,
1155,MARCHESIN Roland,F,1412,S,-0.250,-0.055,
1157,MARCK Pol M.E.E.,B,1103,E,0.520,-0.353,
1164,MARKOPOULOS Christos,G,1506,S,-0.237,0.095,
1166,MARKOZANIS Spyridon,G,1505,N,0.462,-0.644,
1173,MARSHALL John Leslie,U,2401,C,0.793,0.548,
1174,MART René,L,1802,L,0.409,-0.353,
1181,MARTIN Maurice,F,1409,M,-0.553,-0.491,
1183,MARTIN Simone M.M.,F,1410,L,0.398,-0.576,
1184,MARTINET Gilles,F,1412,S,-0.159,-0.321,
1196,MAUROY Pierre,F,1412,S,.,.,
1206,McCARTIN John Joseph,R,2202,E,0.492,-0.376,
1217,MEGAHY Thomas,U,2404,S,-0.178,0.903,
1232,MEO Jean A.E.E.,F,1404,G,0.374,-0.698,
1233,MERTENS Meinolf,D,1201,E,0.546,-0.319,
1235,MESSMER Pierre,F,1404,G,.,.,
1239,MICHEL Victor J.J.,B,1109,E,0.323,-0.157,
1242,MIHR Karl-Heinrich,D,1207,S,0.007,0.668,
1244,MINNEN Johan van ,N,1906,S,-0.201,0.664,
1249,MODIANO Marcello,I,1606,E,0.484,-0.305,
1253,MØLLER Poul,K,1706,C,0.732,0.218,
1255,MOMMERSTEEG Joseph A.,N,1901,E,0.493,0.015,
1265,MOORHOUSE James,U,2401,C,0.857,0.500,
1270,MOREAU Jacques P.,F,1412,S,-0.057,-0.180,
1271,MOREAU Louise,F,1414,E,0.521,-0.352,
1273,MORELAND Robert J.,U,2401,C,0.869,0.481,
1283,MOTCHANE Didier,F,1412,S,-0.248,-0.358,
1285,MOUCHEL Jean,F,1404,G,0.334,-0.882,
1294,MÜLLER-HERMANN Ernst,D,1201,E,0.556,-0.153,
1297,MUNTINGH Hemmo J.,N,1906,S,-0.116,0.656,
1310,NARDUCCI Angelo,I,1606,E,0.513,-0.271,
1316,NEBOUT Jacqueline,F,1404,G,0.355,-0.878,
1324,NEWTON DUNN Bill,U,2401,C,0.857,0.515,
1329,NICOLSON David Lancaster,U,2401,C,0.803,0.579,
1331,NIELSEN Jørgen Brøndlund,K,1711,L,0.472,-0.046,
1332,NIELSEN Tove,K,1711,L,0.437,-0.157,
1333,NIKOLAOU Kalliopi,G,1506,S,-0.273,-0.041,
1334,NIKOLAOU Konstantinos,G,1506,S,-0.309,0.011,
1339,NORD Hans R.,N,1909,L,0.446,-0.132,
1340,NORDLOHNE Franz-Josef,D,1201,E,0.573,-0.213,
1341,NORDMANN Jean-Thomas,F,1413,L,0.453,-0.655,
1342,NORMANTON Tom,U,2401,C,0.849,0.438,
1344,NOTENBOOM Harry A.C.M.,N,1901,E,0.531,0.048,
1345,NOTHOMB Charles-Ferdinand,B,1109,E,.,.,
1351,NYBORG Kai,K,1706,G,0.418,-0.392,
1355,O'CONNELL John,R,2206,S,-0.173,0.050,
1357,O'DONNELL Tom G.,R,2202,E,0.447,-0.489,
1358,OEHLER Jean A.,F,1412,S,-0.147,-0.181,
1359,O'HAGAN The Lord,U,2401,C,0.810,0.578,
1363,O'LEARY Michael,R,2206,S,0.266,-0.224,
1364,OLESEN Kjeld,K,1708,S,.,.,
1367,O'MAHONY Flor,R,2206,S,-0.297,-0.210,
1376,ORLANDI Flavio,I,1620,S,-0.058,0.189,
1378,ORMESSON Olivier d',F,1414,E,0.591,-0.469,
1383,OUZOUNIDIS Aristidis,G,1506,S,-0.161,0.094,
1393,PAISLEY Ian R.K.,U,2402,N,0.411,0.313,
1394,PAJETTA Giancarlo,I,1613,M,-0.345,-0.009,
1400,PANNELLA Marco,I,1617,R,-0.556,-0.457,
1401,PANTAZI Konstantina,G,1506,S,-0.280,-0.012,
1402,PAPAEFSTRATIOU Efstratios,G,1505,E,0.364,-0.282,
1403,PAPAGEORGIOU Apostolos,G,1503,N,0.136,-0.312,
1405,PAPANTONIOU Ioannis,G,1506,S,-0.343,0.016,
1406,PAPAPIETRO Giovanni,I,1613,M,-0.176,0.036,
1420,PATTERSON (Ben) George Benjamin,U,2401,C,0.783,0.457,
1421,PATTISON Séamus,R,2206,S,-0.010,-0.138,
1422,PAULHAN René A.L.,F,1404,G,0.337,-0.785,
1424,PAUWELYN Jeanne M.,B,1110,L,0.358,-0.251,
1425,PEARCE Andrew,U,2401,C,0.836,0.507,
1426,PEDINI Mario,I,1606,E,0.515,-0.325,
1429,PELIKAN Jiri,I,1621,S,0.047,0.142,
1431,PENDERS Jean J.M.,N,1901,E,0.475,-0.016,
1432,PEPONIS Anastassios,G,1506,S,-0.130,-0.181,
1433,PERCHERON Daniel,F,1412,S,-0.108,-0.161,
1444,PERY Nicole,F,1412,S,-0.181,-0.203,
1446,PESMAZOGLOU Ioannis,G,1505,N,0.090,-0.379,
1448,PETERS (Hans) Johannes Wilhelm,D,1207,S,-0.009,0.526,
1449,PETERSEN Eggert,K,1708,S,-0.093,0.641,
1450,PETRONIO Francesco,I,1601,N,0.284,-0.816,
1454,PFENNIG Gero,D,1201,E,0.562,-0.096,
1455,PFLIMLIN Pierre,F,1401,E,0.507,-0.463,
1456,PHLIX Alphonsine M.J.,B,1103,E,0.532,-0.301,
1457,PICCOLI Flaminio,I,1606,E,.,.,
1465,PININFARINA Sergio,I,1616,L,0.391,-0.411,
1467,PINTAT Jean-François A.,F,1414,L,0.453,-0.606,
1471,PIQUET René-Emile,F,1409,M,-0.459,-0.407,
1474,PISANI Edgard Edouard,F,1412,S,.,.,
1483,PLASKOVITIS Spyridon,G,1506,S,-0.263,0.007,
1485,PLUMB The Lord,U,2401,C,0.875,0.459,
1488,POETTERING Hans-Gert,D,1201,E,0.548,-0.254,
1492,POIRIER Henriette,F,1409,M,-0.539,-0.593,
1499,PONCELET Christian,F,1404,G,.,.,
1500,PONIATOWSKI Michel C.,F,1414,L,0.366,-0.628,
1501,PONIRIDIS Emmanouil,G,1506,S,-0.246,-0.058,
1514,PRAG Derek,U,2401,C,0.809,0.582,
1515,PRANCHERE Pierre-Benjamin,F,1409,M,-0.498,-0.543,
1517,PRICE Peter N.,U,2401,C,0.766,0.635,
1520,PROTOPAPADAKIS Mihaïl,G,1505,E,0.394,-0.319,
1521,PROUT Christopher J.,U,2401,C,0.792,0.603,
1522,PROVAN James L.C.,U,2401,C,0.864,0.405,
1523,PRUVOT Marie-Jane,F,1414,L,0.404,-0.513,
1526,PULETTI Ruggero,I,1620,S,0.061,0.025,
1528,PÜRTSEN Albert F.L.,D,1201,E,0.570,-0.742,
1529,PURVIS John,U,2401,C,0.784,0.598,
1533,QUIN Joyce G.,U,2404,S,-0.127,0.935,
1536,RABBETHGE Renate-Charlotte,D,1201,E,0.584,-0.296,
1538,RADOUX Lucien,B,1108,S,-0.019,0.228,
1563,REMILLY Eugène L.,F,1404,G,0.377,-0.866,
1565,REY Jean,B,1107,L,0.604,-0.538,
1567,RHYS WILLIAMS Brandon,U,2401,C,0.788,0.600,
1571,RIEGER Helmut Martin,D,1207,S,-0.043,0.532,
1576,RINSCHE Günter,D,1201,E,0.566,-0.284,
1577,RIPA DI MEANA Carlo,I,1621,S,0.004,0.126,
1580,RIVIEREZ Hector,F,1404,G,0.450,-0.872,
1581,ROBERTS Dame Shelagh,U,2401,C,0.801,0.580,
1587,ROGALLA Dieter,D,1207,S,-0.020,0.554,
1588,ROGERS Allan R.,U,2404,S,-0.345,0.925,
1589,ROLLAND Hector,F,1404,G,0.177,-0.886,
1593,ROMUALDI Pino,I,1601,N,0.192,-0.786,
1604,ROSSI André,F,1410,L,0.392,-0.585,
1611,ROUDY Yvette,F,1412,S,-0.089,0.019,
1619,RUFFOLO Giorgio,I,1621,S,-0.076,0.335,
1623,RUMOR Mariano,I,1606,E,0.485,-0.332,
1626,RYAN Richie,R,2202,E,0.468,-0.380,
1630,SABLÉ Victor,F,1414,L,0.417,-0.263,
1631,SABY Henri,F,1412,S,-0.107,-0.153,
1640,SALISCH Heinke,D,1207,S,-0.139,0.576,
1641,SÄLZER Bernhard,D,1201,E,0.592,-0.326,
1649,SANTER Jacques,L,1803,E,.,.,
1661,SARRE Georges,F,1412,S,-0.096,-0.188,
1663,SASSANO Mario,I,1606,E,0.500,-0.249,
